project_slug,date,sqft,psf,price,mapping_status,resolved_layout,bedrooms,bathrooms,layout_options,reference_area_sqft,area_diff_sqft,match_rule,mapping_confidence,review_note,evidence_kinds,evidence_urls,evidence_notes
the_tre_ver,Jul2024,613,2004,1230000,ambiguous,,,,1b1b (1b/1ba) | 2b2b (2b/2ba),614,1,nearest_1sqft,medium,Conflicting bath/layout evidence exists for this area. Keep unresolved.,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/The Tre Ver/The Tre Ver Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE A4 at 614 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention. | [auto-stacked] Stacked-hosted original brochure text lists TYPE B2 at 614 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
the_tre_ver,Jul2024,645,1981,1280000,matched,2b2b,2,2,2b2b (2b/2ba),646,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/The Tre Ver/The Tre Ver Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B1 at 646 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
the_tre_ver,Jul2024,688,2003,1380000,matched,2b2b,2,2,2b2b (2b/2ba),689,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/The Tre Ver/The Tre Ver Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B3P at 689 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
the_tre_ver,Jul2024,699,2012,1408000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_tre_ver,Jul2024,699,2029,1420000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_tre_ver,Jul2024,742,1976,1468000,matched,2b2b,2,2,2b2b (2b/2ba),743,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/The Tre Ver/The Tre Ver Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B7 at 743 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
the_tre_ver,Aug2024,645,1919,1240000,matched,2b2b,2,2,2b2b (2b/2ba),646,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/The Tre Ver/The Tre Ver Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B1 at 646 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
the_tre_ver,Aug2024,699,2000,1400000,unmapped,,,,,,,,,No nearby reference area found within +/- 1 sqft.,,,
the_tre_ver,Aug2024,742,1925,1430000,matched,2b2b,2,2,2b2b (2b/2ba),743,1,nearest_1sqft,medium,,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/The Tre Ver/The Tre Ver Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B7 at 743 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
the_tre_ver,Aug2024,1011,2105,2130000,ambiguous,,,,2b2b (2b/2ba) | 3b3b (3b/3ba),1012,1,nearest_1sqft,medium,Conflicting bath/layout evidence exists for this area. Keep unresolved.,third_party_original_brochure,https://stacked-condo-database.sgp1.digitaloceanspaces.com/stacked-condo-database/brochure/The Tre Ver/The Tre Ver Brochure.pdf,[auto-stacked] Stacked-hosted original brochure text lists TYPE B8P at 1012 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention. | [auto-stacked] Stacked-hosted original brochure text lists TYPE C1 at 1012 sqft; bedroom count comes from brochure type/category and bathroom count is inferred from floor-plan labels/standard layout convention.
